id,symbol,status,timestamp_created,buy_order_price,buy_order_status,sell_order_price,sell_order_status,buy_size_quote,buy_size_base,sell_size_quote,sell_size_base,psar_timeframe,max_number_of_trades_for_period,max_number_of_trades_period,buy_order_fill_timestamp,buy_order_fee,sell_order_fill_timestamp,sell_order_fee,side,gross_pnl,net_pnl
60,btcusdt,closed,2022-04-01 00:00:15.539160,45519.7647978,filled,45520.67520220001,filled,12,0.00026362174877889454,12.000120000000003,0.0002636191125614068,5min,100,7d,2022-04-01 00:00:51.567923,0.0012000000000000001,2022-04-01 00:02:55.781056,0.0012000120000000003,long,0.0001200000000025625,-0.002280011999997438
61,btcusdt,closed,2022-04-01 00:00:15.588268,45519.7647978,filled,45520.67520220001,filled,12,0.00026362174877889454,12.000120000000003,0.0002636191125614068,5min,100,7d,2022-04-01 00:00:51.567923,0.0012000000000000001,2022-04-01 00:02:55.781056,0.0012000120000000003,long,0.0001200000000025625,-0.002280011999997438
76,btcusdt,closed,2022-04-01 00:00:50.832274,45522.1047744,filled,45523.0152256,filled,12,0.0002636081978078564,12.00012,0.00026360556172587836,5min,100,7d,2022-04-01 00:00:51.556282,0.0012000000000000001,2022-04-01 00:02:55.781825,0.001200012,long,0.00012000000000078614,-0.002280011999999214
77,btcusdt,closed,2022-04-01 00:00:50.832275,45523.554759900006,filled,45524.465240100006,filled,12,0.0002635998015376943,12.00012,0.00026359716553967893,5min,100,7d,2022-04-01 00:00:51.547123,0.0012000000000000001,2022-04-01 00:02:55.781827,0.001200012,long,0.00012000000000078614,-0.002280011999999214
78,btcusdt,closed,2022-04-01 00:00:50.883799,45523.554759900006,filled,45524.465240100006,filled,12,0.0002635998015376943,12.00012,0.00026359716553967893,5min,100,7d,2022-04-01 00:00:51.547123,0.0012000000000000001,2022-04-01 00:02:55.781827,0.001200012,long,0.00012000000000078614,-0.002280011999999214
79,btcusdt,closed,2022-04-01 00:00:50.908634,45523.554759900006,filled,45524.465240100006,filled,12,0.0002635998015376943,12.00012,0.00026359716553967893,5min,100,7d,2022-04-01 00:00:51.547123,0.0012000000000000001,2022-04-01 00:02:55.781827,0.001200012,long,0.00012000000000078614,-0.002280011999999214
80,btcusdt,closed,2022-04-01 00:00:50.967342,45523.554759900006,filled,45524.465240100006,filled,12,0.0002635998015376943,12.00012,0.00026359716553967893,5min,100,7d,2022-04-01 00:00:51.547123,0.0012000000000000001,2022-04-01 00:02:55.781827,0.001200012,long,0.00012000000000078614,-0.002280011999999214
81,btcusdt,closed,2022-04-01 00:00:51.021871,45523.554759900006,filled,45524.465240100006,filled,12,0.0002635998015376943,12.00012,0.00026359716553967893,5min,100,7d,2022-04-01 00:00:51.547123,0.0012000000000000001,2022-04-01 00:02:55.781827,0.001200012,long,0.00012000000000078614,-0.002280011999999214
82,btcusdt,closed,2022-04-01 00:00:51.327842,45523.554759900006,filled,45524.465240100006,filled,12,0.0002635998015376943,12.00012,0.00026359716553967893,5min,100,7d,2022-04-01 00:00:51.547123,0.0012000000000000001,2022-04-01 00:02:55.781827,0.001200012,long,0.00012000000000078614,-0.002280011999999214
83,btcusdt,closed,2022-04-01 00:00:51.537080,45523.544760000004,filled,45524.45524,filled,12,0.00026359985944117415,12.00012,0.0002635972234425797,5min,100,7d,2022-04-01 00:00:51.547123,0.0012000000000000001,2022-04-01 00:02:55.781827,0.001200012,long,0.00012000000000078614,-0.002280011999999214
84,btcusdt,closed,2022-04-01 00:00:51.538072,45523.544760000004,filled,45524.45524,filled,12,0.00026359985944117415,12.00012,0.0002635972234425797,5min,100,7d,2022-04-01 00:00:51.547123,0.0012000000000000001,2022-04-01 00:02:55.781827,0.001200012,long,0.00012000000000078614,-0.002280011999999214
